grading 41 of 50 records in experiments/speculative-tool-exec/modal/runs/20260915T044016Z-harness-7/harness.jsonl (concurrency 8)
django__django-11211 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 76, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11206 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 2, 'failure': 0}, 'PASS_TO_PASS': {'success': 4, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11119 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 7, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11133 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 64, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11099 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 3, 'failure': 0}, 'PASS_TO_PASS': {'success': 19, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11149 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 2}, 'PASS_TO_PASS': {'success': 46, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
psf__requests-1142 arm=harness resolved=False applied=False tests=None err=
django__django-11276 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 26, 'failure': 0}, 'PASS_TO_PASS': {'success': 548, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11239 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 5, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
psf__requests-1766 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 6, 'failure': 0}, 'PASS_TO_PASS': {'success': 79, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11265 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 30, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
psf__requests-1724 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 6, 'failure': 0}, 'PASS_TO_PASS': {'success': 79, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pydata__xarray-3677 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 21, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11179 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 40, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pylint-dev__pylint-4661 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 0, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pylint-dev__pylint-4604 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 21}, 'PASS_TO_PASS': {'success': 0, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pydata__xarray-3305 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 652, 'failure': 1}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pydata__xarray-3151 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 66, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pydata__xarray-3095 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 253, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pytest-dev__pytest-10051 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 14, 'failure': 1}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pytest-dev__pytest-5809 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 3, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pylint-dev__pylint-4970 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 17, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pytest-dev__pytest-5631 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 15, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pydata__xarray-2905 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 364, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-11618 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 4, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-13031 arm=harness resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 9, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sphinx-doc__sphinx-10466 arm=harness resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 6, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
