grading 50 of 50 records in experiments/speculative-tool-exec/modal/runs/20260920T012018Z-harness-9/off.jsonl (concurrency 8)
django__django-10999 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 2}, 'PASS_TO_PASS': {'success': 10, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-10880 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 54, 'failure': 1}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11066 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 3, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11133 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 64, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11149 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 2, 'failure': 0}, 'PASS_TO_PASS': {'success': 45, 'failure': 1}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-10914 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 98, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11099 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 3, 'failure': 0}, 'PASS_TO_PASS': {'success': 19, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11119 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 7, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-10973 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 4, 'failure': 1}, 'PASS_TO_PASS': {'success': 0, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11206 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 2}, 'PASS_TO_PASS': {'success': 4, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11141 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 23, 'failure': 1}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11211 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 72, 'failure': 4}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11265 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 30, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11163 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 141, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
psf__requests-1142 arm=off resolved=False applied=False tests=None err=
django__django-11087 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 40, 'failure': 1}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11179 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 40, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11239 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 5, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pydata__xarray-3095 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 253, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pylint-dev__pylint-4604 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 21}, 'PASS_TO_PASS': {'success': 0, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pydata__xarray-3305 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 653, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11276 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 26, 'failure': 0}, 'PASS_TO_PASS': {'success': 548, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pydata__xarray-3151 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 66, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
django__django-11095 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 19, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pylint-dev__pylint-4970 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 17, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pylint-dev__pylint-4661 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 0, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pydata__xarray-2905 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 364, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pydata__xarray-3677 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 21, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-11618 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 4, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pytest-dev__pytest-5631 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 15, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pytest-dev__pytest-5809 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 3, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sphinx-doc__sphinx-10323 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 40, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-12096 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 43, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sphinx-doc__sphinx-10449 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 30, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pytest-dev__pytest-5262 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 108, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sphinx-doc__sphinx-10466 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 6, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-13031 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 9, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sphinx-doc__sphinx-10435 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 74, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-12419 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 1}, 'PASS_TO_PASS': {'success': 25, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-12481 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 7, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-13091 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 0, 'failure': 2}, 'PASS_TO_PASS': {'success': 77, 'failure': 12}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
pytest-dev__pytest-10081 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 63, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-13480 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 43, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
sympy__sympy-13372 arm=off resolved=True applied=True tests={'FAIL_TO_PASS': {'success': 1, 'failure': 0}, 'PASS_TO_PASS': {'success': 44, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
psf__requests-1724 arm=off resolved=False applied=True tests={'FAIL_TO_PASS': {'success': 5, 'failure': 1}, 'PASS_TO_PASS': {'success': 79, 'failure': 0}, 'FAIL_TO_FAIL': {'success': 0, 'failure': 0}, 'PASS_TO_FAIL': {'success': 0, 'failure': 0}} err=
